CityMunRes,latitude,longitude
Alcantara,9.962163489774856,123.44337989367222
Alcoy,9.71251690081351,123.45985938900424
Alegria,9.755719900475153,123.3744337754232
Aloguinsan,10.192006674719277,123.56497700082674
Argao,9.9276707536175,123.54980994472587
Asturias,10.597034568030024,123.82840633668694
Badian,9.830259927215002,123.40973426595954
Balamban,10.47977071711804,123.76685077702342
Bantayan,11.17711551968669,123.72633869826291
Barili,10.119686772719461,123.53545124589523
Bogo City,11.010683457560377,123.99069720242824
Boljoon,9.64686052965015,123.44955970262254
Borbon,10.846180423489553,123.99207049335529
Carcar City,10.106785944750836,123.63952450674319
Carmen,10.593182081086807,124.01747637227261
Catmon,10.725442270215611,124.00580340262577
Cebu City,10.312278148317121,123.88838702406717
Compostela,10.460189539597561,123.97627764339826
Consolacion,10.437906007188273,123.93782549744091
Cordova,10.255526512999785,123.94675188527796
Daanbantayan,11.247163692102772,124.0181630202606
Dalaguete,9.784927029370698,123.51067115330501
Danao City,10.54188211227833,123.9488118248573
Dumanjug,10.026404927504899,123.46741248489558
Ginatilan,9.590717763973814,123.33397865713238
Lapu-Lapu City,10.29839334,123.9731203
Liloan,10.412244204343304,123.98451738896054
Location Unknown,10.445133780856331,123.82476067524428
Madridejos,11.267843358514739,123.73210141404806
Malabuyoc,9.644138154473445,123.36653643476377
Mandaue City,10.33389513068721,123.93507891558681
Medellin,11.146800962229493,123.96666461049628
Minglanilla,10.243364122452977,123.79019671286262
Moalboal,9.954047880068794,123.40149452039725
Naga City,10.208901487559116,123.75037127597822
Oslob,9.564264266029552,123.41866065676393
Pilar,10.752650126976025,124.51732354262323
Pinamungahan,10.264310169069423,123.60686237410171
Poro,10.669640399215996,124.41852381924322
Ronda,9.996841171256067,123.43430342147693
Samboan,9.504578555024263,123.31444670035307
San Fernando,10.186600145372145,123.6748402749906
San Francisco,10.651374307347151,124.33668438726826
San Remigio,10.962825188150386,123.92271930153935
Santa Fe,11.169705586846648,123.77577717163662
Santander,9.443704379286057,123.32121782690785
Sibonga,10.045322223120223,123.59793598307589
Sogod,10.760522032340639,123.96323138388728
Tabogon,10.923723951519454,123.98657732964708
Tabuelan,10.861016397526088,123.90211993763363
Talisay City,10.252148120362627,123.84238177575236
Toledo City,10.387931072943097,123.64394123679394
Tuburan,10.706354400927752,123.85587215639019
Tudela,10.66190482921257,124.4828195558605
